umbrella_tag,sub_tag,definition
Strategy & Initiatives,Strategic Priorities & Focus Areas,"Stated priorities, focus areas, target segments and lines of business either party is steering towards for the period."
Strategy & Initiatives,New Initiatives & Partnerships,"New facilities, joint programmes, quota shares, line slips, dedicated teams and other structural arrangements launched or expanded between Marsh and the carrier."
Strategy & Initiatives,Digital & Innovation,"Technology, data, AI and platform investment — underwriting and claims tooling, Whitespace, Broker Workbench, digital transformation programmes."
Strategy & Initiatives,Carrier Service Quality & Survey Feedback,"Carrier Survey and Leading Edge results, service delivery, responsiveness, onboarding experience, claims and underwriting scores, and qualitative broker feedback."
Country / Product / Region,What's Working Well,"Countries, products or regions that are performing — growth ahead of the Marsh portfolio, share-of-wallet gains, rank improvements, strong relationships."
Country / Product / Region,What's Not Working / Challenges,"Countries, products or regions that are underperforming — GWP decline, rank deterioration, capacity or appetite gaps, resourcing and expertise issues."
Country / Product / Region,Growth Opportunities & Pipeline,"Named pipeline accounts, cross-sell targets, upcoming inceptions, workshops and other forward-looking opportunities by country, product or segment."
Key Takeaways,KPIs & Performance Headlines,"Headline numbers for the period — GWP, new business, share of wallet, rank, retention — and their year-on-year movement."
Key Takeaways,Outperformers & Underperformers,"The narrative around the numbers: which lines beat or trailed the Marsh portfolio, and why."
Key Takeaways,Rate & Pricing & Market Conditions,"Rate movement, the Global Insurance Market Index, submission-to-bind conversion, capacity and appetite constraints, and wider market conditions."
